STATION_NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WT07
EL PASO INTERNATIONAL AIRPORT TX US,20140222,0,0,62,74,47,6.7,250,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140223,0,0,65,76,52,7.4,210,210,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140224,0,0,67,77,54,5.6,260,230,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140225,0,0,63,74,50,11.6,250,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140226,0,0,60,69,47,8.5,250,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140227,0,0,62,76,51,15,280,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140228,0,0,67,76,55,11.4,270,270,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140301,0,0,69,78,51,14.1,260,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140302,0.16,0,58,63,48,13,260,270,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140303,0,0,52,61,43,4.7,40,140,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140304,0,0,51,64,39,5.6,250,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140305,0,0,60,71,51,8.9,360,360,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140306,0,0,57,72,44,3.4,120,190,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140307,0,0,64,77,46,10.1,280,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140308,0,0,61,64,49,13.9,20,20,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140309,0,0,51,62,42,6,30,50,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140310,0,0,53,71,35,8.1,260,260,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140311,0,0,65,75,53,13.4,280,280,1
EL PASO INTERNATIONAL AIRPORT TX US,20140312,0,0,56,63,41,12.5,80,80,-9999
